Adresas,Kaina,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Namo numeris:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildoma įranga:,Apsauga:,Papildomos patalpos:,Unikalus daikto numeris(RC numeris):
"Klaipėdos r. sav., Dovilų mstl., mūrinis namas",285 000 €,250 m²,"23,5 a",2,2016,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Miesto vandentiekis,Upė,,,Kraštinis sklypas,,Aptverta teritorijaSignalizacijaŠarvuotos durys,PirtisRūbinėŪkiniai pastataiTerasa,
"Klaipėda, Giruliai, Turistų g., mūrinis namas",158 000 €,"51,25 m²","0,9 a",2,2022,Mūrinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,Vietinis vandentiekis,Jūra,750,,Greta miškoAsfaltuotas privažiavimasElektraInternetas,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Terasa,4400-5999-5572:1305
"Klaipėdos r. sav., Svencelės k., Marių g., mūrinis namas",374 400 €,"100,62 m²",2 a,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,B,ElektraInternetasAsfaltuotas privažiavimas,KondicionieriusSkalbimo mašinaSu baldais,,Terasa,
"Klaipėdos r. sav., Derceklių k., Senjorų g., mūrinis sodo namas",26 000 €,48 m²,8 a,2,1990,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,"Artezinis, šulinys",,,,Kraštinis sklypasElektra,,,Rūsys,
"Klaipėdos r. sav., Vaitelių k., medinis sodo namas",12 000 €,20 m²,8 a,1,1985,Medinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Vaitelių k., medinis sodo namas",13 000 €,20 m²,8 a,1,1985,Medinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Mažasis kaimelis, Žolynų g., mūrinis namas",399 000 €,"236,4 m²",18 a,2,2009,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,Upė,400,,Kraštinis sklypasAsfaltuotas privažiavimas,,Aptverta teritorija,GaražasTerasa,
"Klaipėdos r. sav., Žiaukų k., Baltojo Akmens g., mūrinis sodo namas",24 000 €,49 m²,6 a,1,1985,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,,
"Klaipėdos r. sav., Lelių k., mūrinis namas",199 500 €,"208,31 m²",15 a,1,2014,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Girkalių k., Artojų g., mūrinis namas",255 000 €,192 m²,"18,73 a",2,2009,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,,4,,Asfaltuotas privažiavimasElektra,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Garažas,
"Klaipėdos r. sav., Slengių k., Ežero g., mūrinis sublokuotas namas",149 000 €,80 m²,4 a,2,2024,Mūrinis,Sublokuotas namas,"Aeroterminis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Smeltaitės g., mūrinis namas",160 000 €,86 m²,5 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Kalotės k., Purienų g., mūrinis namas",290 000 €,"221,56 m²","9,3 a",2,2002,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Kalotės k., Purienų g., mūrinis namas",305 000 €,"221,56 m²","9,3 a",2,2002,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,,
"Klaipėdos r. sav., Jakų k., mūrinis namas",136 000 €,117 m²,"6,8 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,A++,Elektra,Plastikiniai vamzdžiaiRekuperacinė sistema,Šarvuotos durys,,
"Klaipėdos r. sav., Jakų k., Bičių g., mūrinis sublokuotas namas",135 000 €,125 m²,"4,2 a",2,2021,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,,,,,,
"Klaipėdos r. sav., Jakų k., Bičių g., mūrinis sublokuotas namas",135 000 €,125 m²,4 a,2,2021,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,,,,,,
"Klaipėdos r. sav., Slengių k., mūrinis namas",310 000 €,"166,19 m²",4 a,2,2014,Mūrinis,Namas (gyvenamasis),Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,,,,,,
"Klaipėdos r. sav., Klipščių k., Tulpininkų g., mūrinis namas",249 900 €,"205,81 m²","10,64 a",2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,,,,,,
"Klaipėdos r. sav., Mazūriškių k., Kalvelių g., mūrinis namas",155 000 €,100 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Mazūriškių k., Kalvelių g., mūrinis namas",155 000 €,100 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Smėlio g., mūrinis namas",199 000 €,150 m²,6 a,2,"1972 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,3,Miesto vandentiekis,Upė,,,Asfaltuotas privažiavimasElektra,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,GaražasŪkiniai pastatai,
"Klaipėdos r. sav., Trušelių k., Rūko g., mūrinis namas",145 000 €,80 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Grabių k., Linažolių g., mūrinis namas",120 000 €,148 m²,"20,93 a",2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Vietinis vandentiekis,Jūra,,A++,Greta miškoElektraInternetas,,,,
"Klaipėdos r. sav., Lėbartų k., Kęstučio g., mūrinis namas",220 000 €,150 m²,20 a,2,2006,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,6,Vietinis vandentiekis,Tvenkinys,10,A+,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,RūsysTerasa,
"Klaipėdos r. sav., Slengių k., Ramioji g., mūrinis namas",140 000 €,"89,17 m²","3,5 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Klipščių k., Tulpininkų g., mūrinis namas",249 900 €,"205,81 m²","10,64 a",2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,B,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Šarvuotos durys,GaražasTerasa,
"Klaipėdos r. sav., Mazūriškių k., Rasytės g., mūrinis namas",168 500 €,80 m²,4 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., mūrinis namas",175 000 €,167 m²,4 a,2,"1985 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Baukštininkų k., mūrinis sublokuotas namas",115 000 €,80 m²,7 a,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Pievų g., mūrinis namas",342 000 €,338 m²,19 a,2,1996,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Miesto vandentiekis,,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,GaražasRūbinėRūsysŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Aukštkiemių k., Norvegų g., mūrinis namas",230 000 €,"168,67 m²",3 a,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Upė,150,A+,Greta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Šildomos grindys,,Garažas,
"Klaipėda, Tauralaukis, Tauro 5-oji g., blokinis namas",475 000 €,"215,15 m²","10,8 a",2,2015,Blokinis,Namas (gyvenamasis),Skystu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Jūra,8 000,,Kraštinis sklypasAsfaltuotas privažiavimasInternetas,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,GaražasTerasa,
"Klaipėdos r. sav., Lelių k., Vėjo g., mūrinis namas",189 000 €,232 m²,7 a,2,2022,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,21,5,Vietinis vandentiekis,,,,Elektra,,Aptverta teritorija,GaražasŪkiniai pastatai,
"Klaipėda, Tauralaukis, Jazminų g., mūrinis namas",260 000 €,150 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, aeroterminis, saulės energija",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,A++,,,,GaražasTerasa,
"Klaipėdos r. sav., Lelių k., Vėjo g., mūrinis namas",165 000 €,156 m²,6 a,2,2023,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,16,5,Vietinis vandentiekis,,,,,,Aptverta teritorija,GaražasŪkiniai pastatai,
"Klaipėdos r. sav., Jonušų k., Anso Lymanto g., mūrinis namas",320 000 €,231 m²,27 a,2,2009,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,33,4,Artezinis,Upė,50,,Kraštinis sklypasGreta miškoElektraInternetas,,Aptverta teritorijaSignalizacija,GaražasPirtisTerasa,
"Klaipėdos r. sav., Radailių k., Šlakių g., mūrinis namas",165 000 €,"106,02 m²",8 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Vietinis vandentiekis,,,A++,Asfaltuotas privažiavimas,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,,
"Klaipėdos r. sav., Trušelių k., Agilos g., mūrinis namas",149 000 €,85 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Vaitelių k., karkasinis sodo namas",29 000 €,40 m²,6 a,1,2019,Karkasinis,Sodo namas,Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Karališkas tak., mūrinis namas",170 000 €,100 m²,"1,7 a",2,2024,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,A+,Asfaltuotas privažiavimasElektraDujos,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Rūbinė,
"Klaipėdos r. sav., Slengių k., Karališkas tak., mūrinis namas",155 000 €,102 m²,"4,6 a",1,2024,Mūrinis,Namas (gyvenamasis),Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,A+,Asfaltuotas privažiavimasElektraDujos,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Klaipėdos r. sav., Trušelių k., Sendvario g., mūrinis sublokuotas namas",235 000 €,"183,1 m²",8 a,2,2014,Mūrinis,Sublokuotas namas,"Aeroterminis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,24,5,Vietinis vandentiekis,,,,Asfaltuotas privažiavimasElektraInternetas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasRūbinėTerasa,
"Klaipėdos r. sav., Trušelių k., Arnavos g., mūrinis sublokuotas namas",155 000 €,108 m²,"4,5 a",1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Martyno Liuterio g., mūrinis sublokuotas namas",99 000 €,80 m²,3 a,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Tvenkinys,500,A+,Asfaltuotas privažiavimasElektraDujos,,,,
"Klaipėdos r. sav., Gargždų m., Užmiesčio g., mūrinis namas",228 000 €,"109,36 m²",35 a,1,2015,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,48,4,Vietinis vandentiekis,Tvenkinys,30,B,Kraštinis sklypasAsfaltuotas privažiavimasElektraSu pakrante,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasPirtisŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Trušelių k., Karališkių g., mūrinis namas",320 000 €,161 m²,8 a,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,A+,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasTerasa,
"Klaipėdos r. sav., Trušelių k., Karališkių g., mūrinis namas",320 000 €,161 m²,8 a,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,,A+,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,KondicionieriusŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasTerasa,
"Klaipėdos r. sav., Slengių k., Karališkas tak., mūrinis namas",170 000 €,100 m²,"2,5 a",2,2020,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Bruzdeilyno k., Krūmų g., karkasinis namas",250 000 €,112 m²,32 a,1,2023,Karkasinis,Namas (gyvenamasis),"Elektra, kietu kuru",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Kalvių k., Pasakų g., mūrinis namas",190 000 €,250 m²,30 a,2,2010,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,"Šulinys, vietinis vandentiekis",Tvenkinys,,B,Kraštinis sklypas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,GaražasPirtisRūsysŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Karklės k., Gintaro g., mūrinis sublokuotas namas",309 000 €,120 m²,"9,9 a",2,2014,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,10A,4,Miesto vandentiekis,Jūra,1 000,,Asfaltuotas privažiavimasDujos,KondicionieriusSu baldais,,Terasa,
"Klaipėdos r. sav., Kulių k., Tulpių 3-oji g., mūrinis namas",187 000 €,"166,16 m²","6,2 a",2,2017,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Bruožaičių g., mūrinis namas",260 000 €,"207,12 m²","9,95 a",2,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,35,,,,,,,,,,
"Klaipėdos r. sav., Derceklių k., mūrinis sodo namas",99 000 €,"103,23 m²",6 a,2,2001,Mūrinis,Sodo namas,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Su baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Šarvuotos durys,GaražasRūsysTerasa,
"Klaipėdos r. sav., Stančių k., Vitinių g., mūrinis namas",280 000 €,"212,87 m²","9,72 a",2,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Vietinis vandentiekis,,,,Asfaltuotas privažiavimasElektraDujosInternetas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,GaražasŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Stančių k., Vitinių g., mūrinis namas",285 000 €,"212,87 m²","9,72 a",2,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Šauliai, Arimų g., mūrinis sublokuotas namas",179 000 €,"75,74 m²","0,2 a",2,2019,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,58B,,,,,,,,,,
"Klaipėdos r. sav., Baukštininkų k., Vasaros g., mūrinis namas",140 000 €,80 m²,6 a,1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,1,,,,,,,,,,
"Klaipėdos r. sav., Klausmylių vs., Nasturtų g., mūrinis namas",140 000 €,80 m²,6 a,1,2022,Mūrinis,Namas (gyvenamasis),"Elektra, aeroterminis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,9,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Karališkių g., mūrinis namas",220 000 €,130 m²,8 a,1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Ramioji g., mūrinis namas",125 000 €,"89,17 m²",4 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Tvenkinys,200,A+,ElektraInternetas,,,,
"Klaipėdos r. sav., Trušelių k., Alnos g., mūrinis sublokuotas namas",89 000 €,"98,36 m²","4,6 a",2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,10,4,Miesto vandentiekis,,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,,,,
"Klaipėdos r. sav., Trušelių k., Smeltaitės g., karkasinis namas",469 900 €,"205,17 m²",40 a,1,2019,Karkasinis,Namas (gyvenamasis),Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Artezinis,,,,Kraštinis sklypasGreta miškoElektra,,,GaražasTerasa,
"Klaipėdos r. sav., Slengių k., Vėsos g., mūrinis namas",199 000 €,"114,37 m²","5,34 a",1,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Miesto vandentiekis,,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Su baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasRūbinėTerasa,
"Klaipėdos r. sav., Drevernos k., Žvejų g., mūrinis namas",190 000 €,181 m²,11 a,2,1974,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,,100,,Elektra,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektas,Aptverta teritorija,GaražasRūsysŪkiniai pastatai,
"Klaipėda, Tauralaukis, Akacijų g., mūrinis namas",259 000 €,150 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,"Miesto vandentiekis, vietinis vandentiekis",,,A++,Greta miško,Plastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
