Adresas,Kaina,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Namo numeris:,Unikalus daikto numeris(RC numeris):
"Vilnius, Paneriai, Urėdų g., mūrinis namas",319 000 €,"184,63 m²","15,56 a",6,2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,Kraštinis sklypasElektraDujos,GaražasTerasa,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Kalnėnai, Lukšinės g., karkasinis sublokuotas namas",219 000 €,"121,89 m²","3,11 a",4,1,2024,Karkasinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,ElektraAsfaltuotas privažiavimas,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Šeškinė, Deltuvos g., mūrinis namas",520 000 €,336 m²,10 a,,2,1995,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimas,Garažas,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,30,
"Vilnius, Pilaitė, Kriaučiūnų g., mūrinis namas",325 000 €,"107,01 m²","1,48 a",4,2,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,ElektraAsfaltuotas privažiavimas,Terasa,Skalbimo mašinaSu baldais,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,2A,
"Vilnius, Paneriai, Jaunystės g., skydinis namas",169 000 €,125 m²,10 a,,1,2024,Skydinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Medininkų k., Pasieniečių g., rąstinė sodyba",104 500 €,63 m²,170 a,4,2,"1951 statyba, 2010 renovacija",Rąstinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,,,Kraštinis sklypasGreta miškoElektra,Ūkiniai pastatai,ŠaldytuvasVirtuvės komplektasŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,17,
"Vilnius, Pilaitė, Girdavos g., Namas (gyvenamasis)",150 000 €,80 m²,6 a,,1,2023,Kita,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Kalnėnai, Suomių g., mūrinis namas",689 500 €,253 m²,"9,8 a",5,2,2011,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Papiškių k., Kikilių g., mūrinis namas",285 000 €,"143,25 m²",15 a,,1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Gilužių k., Slėnio g., mūrinis sublokuotas namas",299 000 €,166 m²,6 a,4,2,2015,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Mickūnų mstl., Augusto Liudviko Bekiu g., mūrinis namas",225 000 €,"110,41 m²",10 a,4,1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,ElektraAsfaltuotas privažiavimas,Terasa,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Pavilnys, Džiaugsmo g., mūrinis sublokuotas namas",334 000 €,"142,71 m²","3,9 a",5,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimas,RūbinėTerasa,Šildomos grindysRekuperacinė sistema,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,55B,
"Vilnius, Aukštieji Paneriai, Užutrakio g., mūrinis sublokuotas namas",209 800 €,"180,48 m²","6,44 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,,Asfaltuotas privažiavimas,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,11,
"Vilnius, Aukštieji Paneriai, Užutrakio g., mūrinis sublokuotas namas",199 000 €,"180,33 m²","6,44 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,,Asfaltuotas privažiavimas,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,11,
"Vilniaus r. sav., Gailiūnų k., Drugelių g., mūrinis sublokuotas namas",229 000 €,"107,46 m²","12,42 a",4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,"Artezinis, vietinis vandentiekis",Dalinė apdaila,,,Elektra,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,13,
"Vilnius, Antakalnis, Asiūklių g., mūrinis sublokuotas namas",369 910 €,"178,73 m²","5,25 a",4,2,2016,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,Dujos,Garažas,Skalbimo mašinaSu baldais,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Pakalniškių k., Didžiasalio g., mūrinis sublokuotas namas",230 000 €,"142,36 m²","7,5 a",5,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,,,Elektra,Terasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Pakalniškių k., Didžiasalio g., mūrinis sublokuotas namas",230 000 €,"142,36 m²","7,5 a",5,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,,,Elektra,Terasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Didžiasalio k., Šv. Antano g., mūrinis sublokuotas namas",369 000 €,"130,81 m²",5 a,4,1,2023,Mūrinis,Sublokuotas namas,Dujinis,Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Didžiasalio k., Šv. Antano g., mūrinis sublokuotas namas",369 000 €,"130,81 m²",5 a,4,1,2023,Mūrinis,Sublokuotas namas,Dujinis,Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Didžiasalio k., Šv. Antano g., mūrinis namas",590 000 €,"196,13 m²","10,04 a",4,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Didžiasalio k., Šv. Antano g., mūrinis namas",590 000 €,"196,13 m²","10,04 a",4,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Didžiasalio k., Šv. Antano g., mūrinis namas",590 000 €,"196,13 m²","10,04 a",4,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Balsiai, Eustachijaus Valavičiaus g., mūrinis namas",208 000 €,117 m²,5 a,4,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Didžiasalio k., Mikalojaus Koperniko g., mūrinis namas",245 000 €,"141,29 m²",10 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,,,Elektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Didžiasalio k., Mikalojaus Koperniko g., mūrinis namas",245 000 €,"141,29 m²",10 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,,,Elektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Salininkai, Skaisteros g., mūrinis namas",55 000 €,89 m²,6 a,6,2,1986,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Kita,Tvenkinys,850,Asfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,10,
"Vilnius, Tarandė, Juozo Kamarausko g., mūrinis sublokuotas namas",320 000 €,"154,92 m²","4,62 a",,2,2014,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,21,
"Vilnius, Naujoji Vilnia, Arimų Sodų 10-oji g., mūrinis namas",209 000 €,"78,48 m²","9,1 a",4,1,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Įrengtas,,,ElektraInternetas,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasIndaplovėRekuperacinė sistema,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Salininkai, Kelmijos Sodų 85-oji g., mūrinis namas",239 000 €,"157,44 m²","7,2 a",4,2,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pilaitė, Danės g., mūrinis sublokuotas namas",325 000 €,"92,5 m²","1,57 a",4,2,2019,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Ežeras,800,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Aukštieji Paneriai, Stasio Krasausko g., mūrinis namas",349 900 €,"236,44 m²","10,71 a",,2,2018,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Tvenkinys,1,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizijaSu pakrante,BaseinasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,
"Vilnius, Antakalnis, Saulėtekio al., mūrinis namas",498 000 €,320 m²,"11,97 a",4,2,2000,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,BaseinasGaražasPirtisRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Tuščiaulių k., Miško g., karkasinis namas",335 000 €,111 m²,"13,5 a",4,1,2018,Karkasinis,Namas (gyvenamasis),"Elektra, aeroterminis","Artezinis, vietinis vandentiekis",Įrengtas,Upė,70,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,GaražasŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Antakalnis, Viršupio Sodų 1-oji g., mūrinis namas",398 000 €,"228,39 m²","5,68 a",5,2,2007,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Karklėnų k., Aukštoji g., mūrinis namas",150 000 €,180 m²,6 a,4,2,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,21H,
"Vilnius, Trakų Vokė, Lygainių g., mūrinis namas",268 000 €,"134,71 m²",15 a,5,2,2012,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Artezinis, vietinis vandentiekis",Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektra,GaražasRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Paneriai, Atokaitos g., mūrinis namas",194 000 €,"124,72 m²","7,36 a",4,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,Terasa,Židinys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,47,
"Vilnius, Paneriai, Sakalaičių g., mūrinis namas",447 000 €,226 m²,9 a,4,2,2016,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,,,Kraštinis sklypasElektraDujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,GaražasBaseinasPirtisTerasa,Su baldaisŽidinys,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Justiniškės, Mozūriškių g., mūrinis sublokuotas namas",237 000 €,80 m²,"0,66 a",4,2,2017,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,ElektraDujosAsfaltuotas privažiavimas,Terasa,Skalbimo mašina,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,140,
"Vilnius, Pilaitė, Mozūriškių g., mūrinis sublokuotas namas",237 000 €,80 m²,"0,66 a",4,2,2017,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,ElektraDujosAsfaltuotas privažiavimas,Terasa,Skalbimo mašina,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,140,
"Vilniaus r. sav., Didžiųjų Gulbinų k., Gulbinų g., mūrinis sublokuotas namas",395 000 €,220 m²,"29,3 a",5,2,2006,Mūrinis,Sublokuotas namas,Geoterminis,,Įrengtas,,,,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Skaidiškių k., Beržų g., mūrinis namas",325 000 €,134 m²,"15,2 a",3,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Vietinis vandentiekis,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėŪkiniai pastataiTerasa,Su baldaisŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,34,
"Vilniaus r. sav., Nemėžio k., V. Sirokomlės g., mūrinis sublokuotas namas",235 000 €,211 m²,"7,5 a",5,2,2017,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,Kraštinis sklypasDujosInternetasAsfaltuotas privažiavimas,GaražasTerasa,,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Didžiosios Riešės k., Gegužinės g., mūrinis namas",329 000 €,193 m²,15 a,4,1,1997,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pavilnys, Daulių g., mūrinis namas",112 000 €,"173,23 m²","6,51 a",5,2,2011,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,8,
"Vilniaus r. sav., Avižienių k., Saulės g., mūrinis namas",434 500 €,"223,36 m²",15 a,4,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,ElektraDujosInternetasAsfaltuotas privažiavimas,Terasa,Skalbimo mašinaSu baldaisŽidinys,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Kalnėnai, Senasalio g., mūrinis sublokuotas namas",185 000 €,79 m²,1 a,,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Vietinis vandentiekis,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektas,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,22B,
"Vilnius, Verkiai, Vanaginės Sodų 2-oji g., mūrinis sodo namas",110 000 €,"102,2 m²","6,86 a",,2,1985,Mūrinis,Sodo namas,Dujinis,Artezinis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektraDujos,GaražasRūsysTerasa,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,21,
"Vilnius, Trakų Vokė, Skaisgirio g., mūrinis namas",255 000 €,120 m²,8 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Trakų Vokė, Skaisgirio g., mūrinis namas",255 000 €,120 m²,8 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Žudiškių k., karkasinis kita",9 750 €,18 m²,1 a,,1,2023,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Žudiškių k., karkasinis kita",9 700 €,18 m²,0 a,,1,2023,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pilaitė, Stalupėnų g., mūrinis namas",549 999 €,335 m²,7 a,7,3,2001,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Ežeras,1 000,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūsys,Su baldaisVirtuvės komplektasŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,48,
"Vilnius, Žvėrynas, Lenktoji g., mūrinis namas",1 289 000 €,173 m²,"2,68 a",4,2,2015,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Galgių k., Kerpių g., mūrinis sublokuotas namas",185 000 €,105 m²,5 a,,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,33D,
"Vilniaus r. sav., Pašilių k., Ajerų aklg., mūrinis sublokuotas namas",255 000 €,111 m²,"5,2 a",,1,2024,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis, kita",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Antakalnis, Uosių Sodų 18-oji g., mūrinis namas",264 000 €,149 m²,6 a,5,2,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,,,,GaražasRūsysTerasa,,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Kalvelių k., Paparčių g., medinis sodo namas",44 900 €,"47,5 m²","6,46 a",,1,2020,Medinis,Sodo namas,Kita,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,1,
"Vilnius, Liepkalnis, Sebastijoniškių g., Namas (gyvenamasis)",179 000 €,323 m²,16 a,,2,2007,Kita,Namas (gyvenamasis),"Elektra, geoterminis, aeroterminis, dujinis, kietu kuru, kita",,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Balsiai, Ragės g., mūrinis namas",230 000 €,"363,55 m²","11,6 a",9,2,2002,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis","Artezinis, miesto vandentiekis",Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsys,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,40,
"Vilnius, Naujoji Vilnia, Pramonės g., rąstinė namo dalis",75 000 €,104 m²,"9,76 a",,1,1981,Rąstinis,Namo dalis,"Kietu kuru, kita",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,104,
"Vilnius, Užusieniai, Šumsko g., mūrinis namas",279 000 €,130 m²,13 a,,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Sakiškių k., Lakštingalų g., mūrinis namas",212 000 €,"186,64 m²","7,25 a",5,2,2005,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,,,Greta miškoElektra,RūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,
"Vilnius, Pavilnys, Žemoji g., medinis sodo namas",59 000 €,50 m²,9 a,,1,1950,Medinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,66,
"Vilniaus r. sav., Sakiškių k., Beržo 3-ioji g., mūrinis namas",105 000 €,"104,38 m²","6,29 a",,1,1982,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,
