Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Panevėžio r. sav., Naujikų k., Šilo g., mūrinis sodo namas",30 000 €,6,50 m²,5 a,,2,1985,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Šaltinio al., mūrinė sodyba",38 000 €,29,54 m²,11 a,2,,1989,Mūrinis,Sodyba,"Elektra, kietu kuru",Šulinys,Įrengtas,ElektraDujosKraštinis sklypasGreta miško,RūsysŪkiniai pastatai,ŽidinysŠaldytuvasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Gandrų g., medinis sodo namas",28 000 €,18,40 m²,8 a,,2,1989,Medinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Smėlyno g., mūrinis sodo namas",20 000 €,5,65 m²,6 a,4,2,"1994 statyba, 2022 renovacija",Mūrinis,Sodo namas,Kietu kuru,"Šulinys, vietinis vandentiekis",Dalinė apdaila,Kraštinis sklypasGreta miškoElektra,Rūsys,Šildomos grindys,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,500,
"Panevėžys, Centras, M. Valančiaus g., rąstinė namo dalis",61 500 €,14,"48,28 m²","1,89 a",3,1,1951,Rąstinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,,RūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, A. Baranausko g., mūrinio namo dalis",60 000 €,,126 m²,2 a,,3,1982,Mūrinis,Namo dalis,"Centrinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Šeškų g., karkasinis sodo namas",20 000 €,66,18 m²,"4,94 a",,1,2023,Karkasinis,Sodo namas,Kita,Vietinis vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimas,Terasa,Su baldais,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,100,
"Panevėžio r. sav., Pamarliškių k., Svajonės g., mūrinio namo dalis",35 900 €,30,"58,27 m²",6 a,,2,1989,Mūrinis,Namo dalis,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Merkurijaus g., karkasinis sodo namas",42 000 €,,"66,48 m²","5,83 a",3,2,1985,Karkasinis,Sodo namas,"Elektra, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Kondicionierius,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Trakiškio k., Taikos g., rąstinis namas",81 000 €,37A,"72,67 m²","12,69 a",,1,2016,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vaivadų k., Klevų g., Namas (gyvenamasis)",92 000 €,26,"131,53 m²","10,6 a",,1,2023,Kita,Namas (gyvenamasis),Kita,,Nebaigtas statyti,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., medinis sodo namas",20 000 €,,35 m²,6 a,,1,1995,Medinis,Sodo namas,Elektra,Šulinys,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektra,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Kanapių g., rąstinis namas",129 000 €,6,"134,65 m²","7,5 a",4,2,1991,Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasPirtisRūsysŪkiniai pastatai,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,2793-2002-2014
"Panevėžys, Kniaudiškiai, Pagojo g., mūrinis namas",380 000 €,,212 m²,7 a,4,2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Šilauogių g., mūrinis sublokuotas namas",199 000 €,,"164,54 m²","7,5 a",4,1,2023,Mūrinis,Sublokuotas namas,Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Gėlainių g., mūrinis sublokuotas namas",168 950 €,,109 m²,5 a,4,2,2022,Mūrinis,Sublokuotas namas,Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Ramygalos m., Panevėžio g., rąstinis namas",28 000 €,21,"158,32 m²","8,43 a",,1,1940,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Pušų g., Namas (gyvenamasis)",272 000 €,1,"175,28 m²","14,51 a",5,2,2017,Kita,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,GaražasTerasa,Su baldaisPlastikiniai vamzdžiaiRekuperacinė sistema,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Velžio kel., mūrinis namas",239 000 €,,397 m²,41 a,11,2,2010,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Velžio kel., mūrinis namas",199 500 €,,"114,9 m²",9 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Vyšnių g., rąstinė namo dalis",67 000 €,13,"70,07 m²","8,55 a",3,1,"1975 statyba, 2010 renovacija",Rąstinis,Namo dalis,Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Dembavos k., Pušynėlio g., mūrinis namas",309 000 €,5,"297,29 m²","14,25 a",4,2,2011,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasPirtisRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Naujamiesčio mstl., J. Basanavičiaus g., rąstinis namas",45 000 €,15,"143,88 m²","8,16 a",9,1,1951,Rąstinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Kita,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžys, Pilėnai, Gėlainių g., mūrinis namas",255 000 €,82,"141,1 m²",6 a,,1,2022,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Linonių k., Ąžuolo g., medinis sodo namas",11 700 €,37,"22,09 m²","6,2 a",1,1,1991,Medinis,Sodo namas,"Kietu kuru, kita",Kita,Įrengtas,Kraštinis sklypasGreta miškoElektra,Ūkiniai pastatai,Su baldaisŠaldytuvas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Ežeras,350,
"Panevėžio r. sav., Miežiškių mstl., Nevėžio g., rąstinė namo dalis",19 000 €,40,42 m²,10 a,,1,1971,Rąstinis,Namo dalis,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Eglyno g., mūrinis namas",69 000 €,,"96,33 m²",6 a,4,1,1960,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,Terasa,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, A. Strazdo g., mūrinio namo dalis",69 900 €,,"92,67 m²","3,65 a",3,2,1985,Mūrinis,Namo dalis,"Centrinis, dujinis","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, A. Strazdo g., rąstinis namas",140 000 €,24,122 m²,6 a,4,2,"1955 statyba, 1997 renovacija",Rąstinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,PirtisŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Molainių k., Tvenkinio g., mūrinis namas",189 000 €,5B,"77,66 m²","9,45 a",4,1,2020,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,Tvenkinys,,
"Panevėžio r. sav., Staniūnų k., Daumėnų g., mūrinis namas",180 000 €,,"135,72 m²","9,04 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Kibiškio g., blokinis namas",300 000 €,,"194,82 m²",6 a,5,2,2018,Blokinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Astros g., rąstinis sodo namas",19 900 €,,"59,27 m²",6 a,3,2,2010,Rąstinis,Sodo namas,Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,Greta miškoElektra,PirtisRūsysŪkiniai pastatai,Su baldaisVirtuvės komplektas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,900,
"Panevėžio r. sav., Janališkių k., Serbentų g., mūrinis namas",41 900 €,,"84,6 m²","6,3 a",3,2,1990,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Elektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,450,
"Panevėžys, Rožės, Aguonų g., mūrinis namas",149 000 €,,267 m²,6 a,5,2,1997,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Medžiotojų g., mūrinis namas",131 984 €,27,220 m²,6 a,4,2,1996,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastatai,Virtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, J. Vaitiekūno g., rąstinė namo dalis",29 900 €,,35 m²,2 a,2,1,1947,Rąstinis,Namo dalis,Kita,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžys, Pilėnai, Margirio g., mūrinis namas",235 000 €,21D,105 m²,"5,59 a",3,1,"2021 statyba, 2021 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasElektraDujos,Garažas,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vaidilų k., rąstinis namas",12 500 €,10,"63,42 m²",20 a,,1,1960,Rąstinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Elektra,GaražasŪkiniai pastatai,Su baldaisŠaldytuvas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Zanavykų g., mūrinis namas",275 000 €,,"217,09 m²","14,63 a",4,2,"2003 statyba, 2018 renovacija",Mūrinis,Namas (gyvenamasis),"Elektra, dujinis","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisŪkiniai pastatai,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Bijūnų al., mūrinis sodo namas",17 000 €,,"34,45 m²",6 a,2,1,1989,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,ElektraAsfaltuotas privažiavimas,Terasa,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Jasvilonių k., Vašuokos g., Sublokuotas namas",8 000 €,5,"134,26 m²",14 a,,1,1968,Kita,Sublokuotas namas,"Centrinis, elektra",,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Danutės g., mūrinis namas",270 000 €,,"182,47 m²","5,82 a",4,2,2011,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Aušros al., mūrinis namas",139 000 €,,"96,81 m²","6,12 a",,2,2019,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija","Šulinys, vietinis vandentiekis",Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Aukštadvario k., medinė sodyba",9 900 €,,"90,45 m²","21,5 a",,1,1939,Medinis,Sodyba,Kietu kuru,,Kita,,Ūkiniai pastatai,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tiltagalių k., Žalioji g., mūrinė sodyba",144 000 €,,"401,5 m²",22 a,,2,1980,Mūrinis,Sodyba,Centrinis,,Įrengtas,,Pirtis,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Perekšlių k., Rožių g., rąstinis namas",56 000 €,2,"150,12 m²","15,12 a",,1,1969,Rąstinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Šilauogių g., mūrinis namas",390 000 €,,"194,21 m²","13,75 a",4,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Berčiūnų k., Sanžilės g., mūrinis namas",590 000 €,,291 m²,"29,55 a",5,2,2018,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Alkupio g., mūrinis namas",170 000 €,,"159,35 m²","8,54 a",4,1,2021,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Nebaigtas statyti,Kraštinis sklypasElektra,Garažas,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Ūtos g., mūrinis sodo namas",30 000 €,45,"83,11 m²","5,01 a",2,1,2015,Mūrinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,ElektraDujos,GaražasPirtisRūsys,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,300,
"Panevėžys, Stetiškiai, Rugiagėlių g., blokinis namas",270 000 €,,"149,4 m²","8,43 a",4,1,2017,Blokinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Orelių k., mūrinė sodyba",70 000 €,,"58,5 m²",135 a,,1,"1962 statyba, 2023 renovacija",Mūrinis,Sodyba,"Elektra, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Startų k., Pusiasalio g., medinis sodo namas",14 900 €,10,25 m²,"8,02 a",2,1,1989,Medinis,Sodo namas,Kita,,Įrengtas,Greta miškoElektraSu pakrante,,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,10,
"Panevėžio r. sav., Kaubariškio k., Užgirio g., karkasinis sodo namas",62 000 €,,48 m²,"5,75 a",,2,"1995 statyba, 2022 renovacija",Karkasinis,Sodo namas,Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Ėriškių g., mūrinis namas",130 000 €,,250 m²,"10,07 a",5,2,2008,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vaivadų k., Vyturių g., mūrinis namas",199 900 €,7,"218,81 m²","5,64 a",4,2,2009,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Pušyno g., mūrinio namo dalis",140 000 €,41,"125,3 m²","4,31 a",5,2,1982,Mūrinis,Namo dalis,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, Aukštaičių g., mūrinis namas",152 000 €,,124 m²,12 a,,2,"1939 statyba, 2005 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, Žemaičių g., karkasinė namo dalis",88 000 €,,"82,18 m²","3,92 a",3,2,"1938 statyba, 2011 renovacija",Karkasinis,Namo dalis,"Centrinis, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Asfaltuotas privažiavimasElektraInternetas,Ūkiniai pastataiTerasa,Virtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Liūdynės k., Ramioji g., rąstinis namas",42 000 €,14,113 m²,"11,25 a",4,1,1954,Rąstinis,Namas (gyvenamasis),"Centrinis kolektorinis, geoterminis, aeroterminis, dujinis, kietu kuru",Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektra,,ŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,500,
"Panevėžys, Rožės, Pumpėnų g., mūrinis namas",143 000 €,18,"151,99 m²","8,2 a",4,1,2021,Mūrinis,Namas (gyvenamasis),Kita,Vietinis vandentiekis,Dalinė apdaila,Elektra,GaražasRūbinėTerasa,,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A,,,
"Panevėžio r. sav., Geležių mstl., Varpo g., mūrinis namas",44 900 €,,"152,23 m²","23,3 a",7,2,1962,Mūrinis,Namas (gyvenamasis),"Skystu kuru, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Asfaltuotas privažiavimasElektraInternetas,GaražasRūsysŪkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Smilgių mstl., Knygnešio Bataičio g., mūrinis namas",53 000 €,5,"114,38 m²","27,92 a",4,1,1983,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastataiTerasa,,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžys, Rožės, A. Baranausko g., rąstinis namas",34 000 €,,"39,79 m²","1,47 a",,1,"1962 statyba, 2001 renovacija",Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Radastų g., mūrinis namas",95 000 €,45A,92 m²,6 a,3,1,1976,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Janališkių k., Klevų g., mūrinis sodo namas",55 000 €,11,"58,55 m²","11,89 a",1,1,2023,Mūrinis,Sodo namas,Kita,Šulinys,Neįrengtas,,Ūkiniai pastatai,,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Vaižganto g., rąstinis namas",85 000 €,,65 m²,5 a,3,1,1938,Rąstinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Viryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
