Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Reklama:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:,Reklama/pasiūlymas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Palanga, Vakaro g., mūrinis sublokuotas namas",145 000 €,3D,77 m²,2 a,3,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujos,Terasa,Šildomos grindys,,,
"Palanga, Klaipėdos pl., mūrinis sublokuotas namas",214 000 €,4N,"81,52 m²","2,16 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Bangų g., mūrinis namas",336 000 €,26,126 m²,5 a,,2,2024,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Suvalkiečių g., mūrinis namas",710 000 €,,426 m²,"8,84 a",11,3,2012,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",275 000 €,67G K1,"79,03 m²","3,11 a",3,2,2017,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,700,
"Palanga, Vanagupės g., mūrinis sublokuotas namas",370 000 €,,"106,33 m²","1,45 a",,3,2008,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, J. Basanavičiaus g., mūrinis namas",3 700 000 €,,500 m²,10 a,,3,2021,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",244 000 €,,90 m²,5 a,4,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vaivorykštės g., mūrinis namas",254 000 €,,90 m²,5 a,4,2,2022,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Nemirsetos g., mūrinis namas",55 000 €,,50 m²,2 a,,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Žemaitės g., mūrinis namas",750 000 €,20,"187,57 m²","8,06 a",,2,1960,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vytauto g., mūrinis sublokuotas namas",485 000 €,58A,"78,97 m²","1,92 a",,2,1998,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Paliepgirių kel., mūrinis sublokuotas namas",279 900 €,49,"79,7 m²","1,37 a",3,2,2021,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimas,BaseinasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorija,,
"Palanga, Elijos g., karkasinis namas",209 520 €,,72 m²,"3,42 a",3,2,2021,Karkasinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Terasa,,Aptverta teritorijaVaizdo kameros,,
"Palanga, mūrinis namas",174 999 €,,80 m²,5 a,,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Gulbių g., mūrinis sublokuotas namas",249 000 €,13,84 m²,3 a,3,2,2009,Mūrinis,Sublokuotas namas,"Centrinis kolektorinis, dujinis",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaSignalizacija,,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",130 000 €,,48 m²,2 a,,2,2022,Mūrinis,Sublokuotas namas,"Aeroterminis, kita",,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Paliepgirių kel., mūrinis namas",210 000 €,57B,70 m²,3 a,3,1,2017,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasElektra,Terasa,Su baldaisVirtuvės komplektas,Aptverta teritorijaSignalizacija,,
"Palanga, Medžiotojų g., mūrinis namas",800 000 €,12,362 m²,4 a,,3,1994,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsys,Su baldaisVirtuvės komplektas,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Vanagupės g., mūrinis namas",665 000 €,14,110 m²,5 a,4,2,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujos,RūbinėŪkiniai pastatai,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,600,
"Palanga, Kaštonų g., mūrinis namas",250 000 €,2,"104,57 m²","5,13 a",4,2,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Terasa,,,700,
"Palanga, Kaštonų g., mūrinis namas",250 000 €,2,"104,57 m²","5,13 a",4,2,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Terasa,,,700,
"Palanga, Šventoji, Mokyklos g., monolitinė namo dalis",735 000 €,62,"147,6 m²","0,8 a",,2,2020,Monolitinis,Namo dalis,Centrinis kolektorinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Jūros g., mūrinis sublokuotas namas",410 000 €,36,"69,23 m²","3,18 a",3,2,2022,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Klaipėdos pl., mūrinis sublokuotas namas",398 000 €,,"86,03 m²","2,13 a",4,2,2008,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasInternetasKabelinė televizija,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,500,
"Palanga, Klaipėdos pl., mūrinis sublokuotas namas",156 600 €,6H,54 m²,"1,5 a",3,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,600,
"Palanga, Zuikių tak., mūrinis namas",750 000 €,,"470,06 m²","12,56 a",12,2,1989,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,,
"Palanga, Vėžių g., mūrinis sublokuotas namas",289 000 €,12,"131,27 m²","2,35 a",6,2,2017,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,Terasa,Su baldaisŠildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Palanga, Elijos g., mūrinis namas",235 000 €,,"78,14 m²","3,5 a",4,2,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,,,,
"Palanga, Vilimiškės kel., blokinis sublokuotas namas",172 350 €,24B,"101,38 m²","1,5 a",4,2,2023,Blokinis,Sublokuotas namas,Geoterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Elektra,Rūbinė,Plastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,,
"Palanga, Kalgraužių g., mūrinis sodo namas",110 000 €,,"70,45 m²","6,13 a",4,1,2005,Mūrinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraKabelinė televizija,Rūsys,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacijaŠarvuotos durys,150,
"Palanga, Vėžių g., mūrinis sublokuotas namas",199 000 €,26,"109,35 m²","1,5 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,Terasa,KondicionieriusŠildomos grindys,SignalizacijaVaizdo kameros,,
"Palanga, Ošupio tak., mūrinis sublokuotas namas",396 000 €,,78 m²,"1,4 a",3,2,2021,Mūrinis,Sublokuotas namas,"Aeroterminis, kita",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,50,
"Palanga, Aido tak., mūrinis sublokuotas namas",279 000 €,10,"77,1 m²","2,5 a",,2,2021,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Pylimo g., mūrinis sublokuotas namas",189 000 €,66A,85 m²,2 a,3,2,2008,Mūrinis,Sublokuotas namas,Centrinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Audronašų g., medinė sodyba",350 000 €,,230 m²,12 a,15,1,2016,Medinis,Sodyba,Kita,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Elektra,,KondicionieriusŠaldytuvasViryklė,Aptverta teritorija,700,
"Palanga, Klaipėdos pl., mūrinis namas",600 000 €,,"165,23 m²",6 a,5,2,2020,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoInternetasAsfaltuotas privažiavimas,Terasa,,SignalizacijaŠarvuotos durys,,
"Palanga, Molyno g., mūrinis sublokuotas namas",275 000 €,,"147,57 m²",5 a,6,2,2020,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,Terasa,Su baldaisŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorija,,
"Palanga, Palanga, Vaivorykštės g., mūrinis sublokuotas namas",130 000 €,51,"47,96 m²","1,35 a",3,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraAsfaltuotas privažiavimas,Terasa,,Šarvuotos durys,,
"Palanga, Kastyčio g., mūrinis namas",3 080 000 €,1A,"300,94 m²","2,6 a",,2,2005,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vėžių g., mūrinis sublokuotas namas",178 000 €,,"78,02 m²","1,5 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vėžių g., mūrinis sublokuotas namas",220 000 €,,"109,69 m²","1,5 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Vasario 16-osios g., rąstinė namo dalis",130 000 €,,69 m²,"2,3 a",3,2,2004,Rąstinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Rūbinė,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorija,900,
"Palanga, Aido tak., mūrinis namas",214 000 €,17,"69,36 m²","2,4 a",4,2,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kita",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,RūsysTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,500,
"Palanga, Aido tak., mūrinis namas",189 000 €,15,"61,03 m²","2,76 a",4,2,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kita",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,RūsysTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,500,
"Palanga, Palanga, Vilimiškės kel., mūrinis namas",350 000 €,,"159,85 m²",10 a,4,1,2022,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujos,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Vaivorykštės g., mūrinis namas",320 000 €,15E,80 m²,"4,34 a",,2,2021,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Baltų g., mūrinis sublokuotas namas",165 000 €,17,"68,99 m²","19,8 a",3,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,1 400,
"Palanga, Ajerų g., mūrinis sublokuotas namas",530 000 €,14K,"86,89 m²","3,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Kurorto g., mūrinis namas",152 000 €,144,80 m²,5 a,3,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoElektra,Terasa,ŠaldytuvasŠildomos grindysVirtuvės komplektasIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Vėžių g., mūrinis sublokuotas namas",408 500 €,,"104,81 m²","3,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,PirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacija,,
"Palanga, Vėžių g., mūrinis sublokuotas namas",408 500 €,,"105,5 m²",5 a,4,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,PirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Palanga, Vilimiškės kel., mūrinis namas",385 000 €,93,"136,71 m²",10 a,,1,2025,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,,,,,
"Palanga, Žiogupio g., mūrinis sublokuotas namas",310 000 €,37,80 m²,5 a,4,1,2022,Mūrinis,Sublokuotas namas,"Aeroterminis, kita",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoElektraInternetas,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Žiogupio g., mūrinis namas",557 800 €,22,179 m²,10 a,6,2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,B,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoElektraDujos,GaražasPirtisŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,,
"Palanga, Savanorių g., mūrinis sublokuotas namas",140 000 €,17,40 m²,"2,22 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vingio g., mūrinis namas",249 000 €,,"58,57 m²","1,6 a",3,2,2021,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Sakalo g., mūrinis namas",610 000 €,30,80 m²,"3,5 a",,2,2019,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Klaipėdos pl., mūrinis sublokuotas namas",150 000 €,4N,"61,8 m²","0,118 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Matininkų g., mūrinis sublokuotas namas",250 000 €,,"116,3 m²",6 a,4,1,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraDujos,Terasa,Šildomos grindysPlastikiniai vamzdžiai,SignalizacijaŠarvuotos durys,3 000,
"Palanga, Vasario 16-osios g., mūrinis namas",715 000 €,35A,444 m²,7 a,10,3,1996,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsys,,,1 700,
"Palanga, Baltų g., mūrinis sublokuotas namas",165 000 €,17A,"67,5 m²","1,25 a",3,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,1 200,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",266 600 €,64,82 m²,"2,79 a",,2,2023,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Ilgoji g., karkasinis namas",350 000 €,58,"147,85 m²","5,95 a",6,2,2024,Karkasinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,ElektraInternetas,Terasa,KondicionieriusŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Signalizacija,2 000,
"Palanga, Žiogupio g., mūrinis namas",392 000 €,,"235,85 m²",10 a,5,2,2008,Mūrinis,Namas (gyvenamasis),"Skystu kuru, kietu kuru",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoElektra,GaražasPirtisRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,1 700,
"Palanga, Palanga, Gilių g., mūrinis namas",218 000 €,7,"65,91 m²","4,14 a",,1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Kęstučio g., mūrinis namas",2 130 000 €,,328 m²,6 a,6,4,2015,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,InternetasAsfaltuotas privažiavimas,,KondicionieriusSu baldaisŠaldytuvasViryklėIndaplovė,Signalizacija,,
